date,filename,content,S_cat,S_concdef,V_raw,V_pct,V_minmax,week
2025-10-18,2025-10-18.md,"---
created: 2025-10-18
modified:
  - 2025-10-18T14:34:40-04:00
---

- **First Light**: What is on your mind? What is your focus today?
	- 조직경제 논문 정리를 위해, innovation 정리하며 [[의지용현 단상 모음]]
- **Last Light**: What were wins today? What's on tap for tomorrow?

# Freewrite

[[조정훈]] 을 만났는데, 테이블에 와서 인사해주는 다정함이 좋았다. [[cathy_wu]]같이 좋은 지도교수와 있다보니 보고 배우는게 큰 듯.





",27.831183260381348,56.26948639089533,49.159910608266834,41.66666666666667,12.766039692133443,2025-10-13/2025-10-19
2025-10-17,2025-10-17.md,"---
created: 2025-10-17
modified:
  - 2025-10-17T14:33:29-04:00
---

- **First Light**: What is on your mind? What is your focus today?

[[charlie_fine]],  [[scott_stern]] 께,
저는 은행을 운영합니다. 의식적이든 무의식적이든, 상대의 낙관을 제 낙관과 포개어, 협력 논리로 설득할 때 빚이 쌓입니다. 그런 책임이 제 삶의 동력입니다. 다른 모든 상황이 불확실해졌지만, 더욱 확실해진 것은, 당신들이 절 믿고 해주셨던 투자가 헛되지 않게 하겠다는 마음이 제가 평생 침대에서 일어나는 동기가 될것이라는 겁니다. 감사합니다.


- **Last Light**: What were wins today? What's on tap for tomorrow?

# Freewrite








",0.0,57.73253810569845,43.29940357927384,25.0,2.172610222249461,2025-10-13/2025-10-19
2025-10-16,2025-10-16.md,"---
created: 2025-10-16
modified:
  - 2025-10-16T09:30:04-04:00
---

- **First Light**: What is on your mind? What is your focus today?
찰리 교수님께 장문의 메일 보내기
- motivation: 싱가폴의 인터뷰 - 느리더라도 끝까지 해낸다. 선생님의 o4e 논문, 피피티, 녹화본을 100번은 넘게 읽었고 체화를 하려 꾸준히 노력해 지금은 더 
- 제가 보상심리가 있었던거 같다. 전공을 바꿨는데 기존에 배웠던 
- 여러 행동을 느끼게 해주셨는데
	- 믿음: I wouldn't abandon you

제가 가장 존경하고 닮고 싶은 이순신장군님이 있습니다. 23전 23승의 불패신화, 13척 대 330척으로 승리로 알려져 있는 그는, 그러나 행복한 삶을 살지는 않았습니다. 항상 바른 소리를 하고, 청탁을 거절하는 ""의""를 중요시 하는 성격으로, 마흔이 되어서야 첫 관직을 얻을수 있었습니다. 임금은 그를 시기했고, 그는 결국 


My second‑year draft was flawed but it crystallized a viable path. I’m seeking your methods mentorship to make the model resource‑rational and test it cleanly.

- Build much more background and make a stronger case for what you are saying. “Data is not the plural of anecdote”
- 
# 
- earth shattering한 논문일 필요는 없다고 하셨지만, 저는 그런 꿈이 중요하다. 테슬라 케이스스터디를 하며 좋았던 점은 이런 큰 꿈 (master plan)을 가지고 치밀한 계획은 세우는 사람은 결국 인류의 운명을 바꾸는 구나였습니다. ""운명을 바꾸기 위해 목숨을 걸어본 적이 있는가?""라는 한 ceo의 말에 공감하는데, 큰 꿈을 세우고 매일 목숨을 
- 
- **Last Light**: What were wins today? What's on tap for tomorrow?

# Freewrite








",0.0,65.02376457559565,48.76782343169674,37.5,12.05730445293095,2025-10-13/2025-10-19
2025-08-09,2025-08-09-interesting-criteria.md,"# 2025-01-11 interesting-criteria

```
        🐢 Can?                👾 User?
   Formalize curiosity     People seeking to
   as $/energy ratio       understand social
   (probability,           dynamics & make
   optimization)           engagement choices
              \                  /
               \                /
         Deliver? ←→  Sell?
                /              \
               /                \
        🐅 Goal?              🐙 Offer?  
    Map personality        Framework for
    prediction to          assessing who's
    engagement            worth engaging
    decisions             with (eyes, energy)
```

**Deliver**: 🐅×🐢 = ✓ Mathematical formalization enables systematic personality assessment
**Sell**: 👾×🐙 = ✓ People want practical tools for social decision-making
**$/time**: ✓ High value through efficient social filtering

**Learning**: Interesting = (Unpredictability × Distance from population mean) / Energy required. Eyes reveal resistance/pushback which signals worthwhile engagement.

## Key Insights from Conversation

### 1. The Curiosity-Energy Formula
- Monetizing curiosity: $ earned per curiosity solved / energy invested
- Loud people = high denominator (energy) + low numerator (curiosity) = bad deal
- Exception: if something distinct beyond loudness (e.g., unique fashion)

### 2. Types of Interesting
- **Unpredictable + High Energy**: Avoided gaze person (what are they hiding?)
- **Predictable but Far from Mean**: Vernon's poetic academic writing
- **Style Variance**: Personal mean ≠ population mean but still predictable

### 3. Decision Framework
- High energy state → Choose unpredictable (avoided gaze)
- Low energy state → Choose predictable but unique
- Eyes reveal: resistance, strength, playfulness (forms of pushback)

### 4. State vs Action Model
- State (changes faster): emotions, knowledge, eye contact patterns
- Action (requires effort): choosing to engage, speaking
- Entrepreneurial world ≠ RL grid (no fixed states/actions)

## Angie's Capability
""I'm good at re-presenting others' thoughts using analogy and formalizing them (probability, statistics, optimization)""
- Decomposition: population mean (X̄) vs personal mean (X̄ᵢ) vs instance (Xᵢⱼ)
- Conditional structure: P(action | emotional state)
- Optimization: maximize curiosity/energy ratio",11.196266325514792,75.25626597640542,59.24126606368276,66.66666666666666,30.98905818685393,2025-08-04/2025-08-10
2025-08-09,2025-08-09-curiosity-energy.md,"# 2025-01-11 curiosity-energy

```
        🐢 Can?                👾 User?
   Math formalization      Social navigators
   ($/energy ratio)        seeking efficiency
              \                  /
               \                /
         Deliver? ←→  Sell?
                /              \
               /                \
        🐅 Goal?              🐙 Offer?  
    Maximize social        Eye-reading filter
    $/time returns         for engagement
```

**Deliver**: 🐅×🐢 = ✓ Math makes social assessment systematic  
**Sell**: 👾×🐙 = ✓ People want efficient social filtering  
**$/time**: ✓ High value via rapid pre-engagement assessment

**Learning**: Interesting = (Unpredictability × Distance from mean) / Energy. Eyes reveal resistance worth engaging.

## PARA-Zoo Map
- 🐅 Projects (time-bound goals)
- 🐢 Resources (reusable methods)  
- 👾 Areas (ongoing stakeholder needs)
- 🐙 Archives (completed work for reuse)",15.500309405565533,64.69672154226119,52.39761850808728,54.166666666666664,18.618507765485028,2025-08-04/2025-08-10
2025-08-08,2025-08-08-promise-precision-evolution.md,"# 2025-08-08 promise-precision-evolution

⚡TOLTOL: Map 5-model progression to 3D space (state×depth×action)
🧲ZULZUL: Freedom evolves from level→limitation→flexibility→precision

→ $/time test:
  Deliver? 3D visualization × Model clarity = ✓
  Sell? Management Science × Rigorous progression = ✓

**Learning**: External dimensions (3D plot) reveal internal evolution (decision freedom)

## Integration from Existing Knowledge:

### From [[⚡toltol/people_analysis/]] (External patterns)
- Related person: [[⚡toltol/people_analysis/🗺️atom(PCO⬆️⬇️)/charlie_fine.md]] - systematic optimizer
- Quick pattern: Number models 1-5, not creative names
 
### From [[🧲zulzul/ops4entrep/]] (Internal frameworks)  
- Theory connection: [[🧲zulzul/ops4entrep/joker-framework.md]] - balance exploration/exploitation
- Deep principle: Promise precision = f(level, limitation, flexibility)

### From [[3_🐅professionalize-processify/]] (Operations)
- Academic backing: [[3_🐅/🫀bayes/optimal-stopping.md]]
- Method: [[3_🐅/✋operations/🤙prior(promise)/]]

## 8 TODO Items (from brown numbers):

1. [⚡] Fix notation: φ not ""five"", consistent throughout
2. [🧲] Map GaNS baseline clearly as Model 1 foundation
3. [⚡] Draw 3D progression plot: (0,0,0)→(1,0,0)→(2,0,0)→(2,1,0)→(2,1,2)
4. [🧲] Solve Model 3: φ* = {1 if VSD=max, 0.5 if VSD≫}
5. [🧲] Solve Model 4: μ* convergence when τ→∞
6. [⚡] Add convex d(φ) for Model 3b analysis
7. [🧲] Prove Model 5: optimal τ* = f(μ, c, VSD)
8. [⚡] Create table: Decision variables by model (0→φ→φ→μ,φ→μ,τ)

## Model Evolution Summary:

### Model 1: Freedom-Level (자유-수준)
- State: (0,0,0) → No decision variable
- P(success) exogenous

### Model 2: Freedom-Level Extended  
- State: (1,0,0) → φ ∈ [0,1]
- Promise level affects success

### Model 3: Finite/Limited (유한)
- State: (2,0,0) → Branching: Sell vs Deliver
- Trade-off: d(φ) = delivery probability

### Model 4: Flexible (유연)
- State: (2,1,0) → Added depth dimension
- μ = prior mean for promise

### Model 5: Discrete/Precision (이산/정밀도)
- State: (2,1,2) → Added action dimension
- τ = sample size optimization
- Cost: c·ln(τ)",12.161958596861268,55.178522383156114,44.42438143658241,29.166666666666668,4.206115775202829,2025-08-04/2025-08-10
2025-08-07,2025-08-07-smartcity.md,"# 2025-08-07 smartcity

⚡TOLTOL: Launch smart city course pilot
🧲ZULZUL: Bayesian urban planning framework

→ $/time test:
  Deliver? Data-driven ops × Bayes models = ✓
  Sell? City planners × Decision tools = ✓

**Learning**: Quick course pilots validate deep statistical models",89.96838952998208,42.03628712787519,77.98536392945536,95.83333333333334,64.87081581214666,2025-08-04/2025-08-10
2025-08-07,2025-08-07-charlie-model-progression.md,"# 2025-08-07 charlie-model-progression

⚡TOLTOL: Rename Joker→three chains, fix phi notation, clarify GaNS baseline
🧲ZULZUL: Build model progression 1→2→3→4→5 showing entrepreneur's promise evolution

→ $/time test:
  Deliver? Clear progression × Bayesian framework = ✓
  Sell? OM professors × Promise-precision tradeoff = ✓

**Learning**: External clarity (naming, notation) enables internal rigor (model logic)

## TODO from Charlie Meeting:
1. **Immediate fixes** (⚡toltol):
   - [ ] Change ""Joker diagram"" → ""three chains diagram""
   - [ ] Fix notation: phi (not five) throughout
   - [ ] Remove beta distribution from abstract

2. **Deep work** (🧲zulzul):
   - [ ] Map GaNS model clearly as baseline (model 1)
   - [ ] Articulate why each model progression matters
   - [ ] Solve for optimal μ* in model 3
   - [ ] Add convex d(φ) analysis for model 3b

3. **Paper structure**:
   - [ ] Crystal-clear introduction BEFORE literature review
   - [ ] Each model shows: entrepreneur chooses → affects outcomes
   - [ ] Model 1: No choice (p,V exogenous)
   - [ ] Model 2: Choose φ (cheap talk)
   - [ ] Model 3: Trade-off sell vs deliver
   - [ ] Model 4: Choose μ,τ (precision matters)
   - [ ] Model 5: Precision has cost c·ln(τ)",12.261277974279801,67.03273493955435,53.339870698235714,58.333333333333336,20.321719120714192,2025-08-04/2025-08-10
2025-08-07,2025-08-07-charlie-feedback.md,"# 2025-08-07 charlie-feedback

⚡TOLTOL: Fix phi notation, rename Joker to ""three chains""
🧲ZULZUL: Crystal-clear intro before literature review depth

→ $/time test:
  Deliver? Clear intro × Three chains model = ✓
  Sell? Professors × Rigorous progression = ✓

**Learning**: Quick fixes (notation) enable deep clarity (model progression)",55.69794276160198,58.10544277122182,57.50356776881686,62.5,27.848001579374248,2025-08-04/2025-08-10
2025-08-05,2025-08-05-🃏.md,"---
modified:
  - 2025-10-18T22:06:33-04:00
---
 # 2025-08-05 🃏 Joker

```
        🐢 Can?                👾 User?
   3-chain method         Entrepreneurs
         $/time            need OM theory
              \                  /
               \                /
                \              /
              Deliver? ←→  Sell?
                /              \
               /                \
              /                  \
        🐅 Goal?              🐙 Offer?  
    Bridge OM &          Joker framework
   entrepreneurship       + course
```

**✓ Deliver**: Goal × Can = Theory ready  
**✓ Sell**: User × Offer = They want this  
**✓ $/time**: Value flows both ways

**Learning**: Operations IS entrepreneurial",41.58172530407933,55.61727481911154,52.10838744035349,50.0,18.095694824321544,2025-08-04/2025-08-10
